desercion_año_anterior,frecuencia_viajes,departamento,distancia_domicilio,educacion,formacion,conteo_de_empleados,ID,nivel_de_cargo,nombre_cargo,estado_civil,ingresos_mensuales,empresas_anteriores,edad>18,porcentaje_aumentosalario,horas_trabajo,nivel_de_opciones,años_de_trabajo,numero_capacitaciones,años_jefe_actual,satisfaccion_entorno,satisfaccion_laboral,conciliacion_faimilar_laboral,implicacion_laboral,rendimiento,tiempo_prom_dia
No,Travel_Frequently,Sales,9,1,Marketing,1,37,1,Laboratory Technician,Married,15140,1.0,Y,14,8,0,4.0,3,2,2.0,4.0,2.0,3,3,9.7021
No,Travel_Frequently,Sales,2,2,Marketing,1,38,3,Research Director,Married,29560,5.0,Y,13,8,0,23.0,2,8,3.0,2.0,4.0,3,3,5.5233
Yes,Travel_Rarely,Research & Development,1,4,Life Sciences,1,39,1,Sales Executive,Single,23350,1.0,Y,14,8,2,0.0,3,0,3.0,3.0,3.0,2,3,6.1773
No,Travel_Rarely,Sales,20,2,Life Sciences,1,40,1,Laboratory Technician,Married,51540,0.0,Y,19,8,0,12.0,2,9,3.0,2.0,2.0,2,3,7.3813
No,Travel_Frequently,Research & Development,8,3,Other,1,41,3,Sales Executive,Married,69620,4.0,Y,12,8,2,4.0,2,0,3.0,3.0,3.0,2,3,7.0601
No,Travel_Rarely,Research & Development,2,3,Life Sciences,1,42,2,Laboratory Technician,Divorced,56750,5.0,Y,13,8,0,13.0,2,2,4.0,2.0,3.0,2,3,7.1678
No,Travel_Rarely,Research & Development,29,1,Life Sciences,1,43,1,Laboratory Technician,Single,23790,1.0,Y,12,8,0,22.0,6,4,4.0,2.0,3.0,3,3,6.7572
No,Travel_Rarely,Sales,7,3,Life Sciences,1,44,1,Research Scientist,Single,38120,1.0,Y,15,8,0,0.0,3,0,4.0,3.0,3.0,3,3,6.7555
No,Travel_Rarely,Research & Development,9,3,Medical,1,45,1,Sales Representative,Single,46480,0.0,Y,23,8,2,9.0,2,7,2.0,1.0,3.0,2,4,7.057
No,Travel_Rarely,Research & Development,8,1,Technical Degree,1,46,1,Manufacturing Director,Married,29360,4.0,Y,12,8,1,10.0,2,7,2.0,4.0,2.0,3,3,6.9136
No,Travel_Rarely,Sales,5,4,Marketing,1,47,2,Human Resources,Divorced,21050,0.0,Y,20,8,0,19.0,3,7,3.0,4.0,2.0,3,4,7.2074
No,Non-Travel,Research & Development,5,4,Life Sciences,1,48,1,Sales Executive,Married,85780,7.0,Y,21,8,0,11.0,4,8,2.0,2.0,3.0,3,4,7.4553
No,Travel_Rarely,Sales,2,3,Marketing,1,49,2,Laboratory Technician,Married,27060,1.0,Y,21,8,1,13.0,4,8,4.0,3.0,2.0,3,4,6.3585
No,Travel_Rarely,Research & Development,5,2,Life Sciences,1,50,3,Research Scientist,Married,63840,3.0,Y,19,8,2,19.0,4,1,1.0,2.0,3.0,2,3,6.324
No,Non-Travel,Research & Development,2,3,Life Sciences,1,51,2,Manufacturing Director,Divorced,39680,2.0,Y,13,8,2,12.0,3,2,4.0,3.0,3.0,2,3,10.5892
No,Travel_Rarely,Research & Development,20,1,Technical Degree,1,52,3,Research Scientist,Married,99070,0.0,Y,13,8,1,6.0,3,3,3.0,4.0,3.0,2,3,8.6859
No,Travel_Rarely,Sales,7,4,Marketing,1,53,2,Sales Executive,Married,132250,3.0,Y,21,8,1,9.0,2,0,1.0,1.0,3.0,3,4,6.5571
No,Travel_Frequently,Research & Development,3,1,Medical,1,54,1,Sales Executive,Divorced,35400,1.0,Y,13,8,0,24.0,6,11,1.0,1.0,3.0,3,3,6.9341
No,Travel_Rarely,Sales,16,4,Marketing,1,55,2,Research Scientist,Divorced,28040,0.0,Y,19,8,2,3.0,0,2,3.0,4.0,1.0,3,3,8.4379
No,Travel_Frequently,Research & Development,9,3,Life Sciences,1,56,4,Research Director,Married,193920,6.0,Y,12,8,1,12.0,3,8,4.0,2.0,3.0,3,3,6.4579
No,Travel_Rarely,Sales,1,4,Life Sciences,1,57,1,Sales Executive,Married,196650,1.0,Y,22,8,1,21.0,6,10,3.0,1.0,3.0,3,4,10.8096
No,Travel_Frequently,Research & Development,7,4,Medical,1,58,4,Research Scientist,Single,24390,0.0,Y,15,8,0,9.0,2,7,3.0,4.0,3.0,3,3,7.0074
No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,59,3,Manufacturing Director,Single,73140,7.0,Y,22,8,0,25.0,2,7,3.0,3.0,3.0,3,4,9.7091
Yes,Travel_Rarely,Research & Development,7,1,Life Sciences,1,60,2,Research Scientist,Married,47740,2.0,Y,18,8,1,11.0,2,7,3.0,2.0,2.0,3,3,7.588
No,Travel_Rarely,Research & Development,15,4,Medical,1,61,3,Research Scientist,Single,39020,1.0,Y,22,8,0,4.0,2,2,3.0,2.0,2.0,3,4,10.4581
No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,62,3,Research Scientist,Married,26620,1.0,Y,11,8,1,13.0,6,9,3.0,2.0,3.0,4,3,10.0746
No,Travel_Rarely,Research & Development,13,2,Medical,1,63,4,Research Director,Single,28560,1.0,Y,12,8,2,5.0,5,4,4.0,3.0,3.0,4,3,9.3414
No,Travel_Rarely,Sales,24,3,Life Sciences,1,64,2,Healthcare Representative,Divorced,10810,4.0,Y,11,8,3,13.0,4,7,4.0,4.0,3.0,4,3,6.4478
No,Travel_Rarely,Research & Development,7,3,Technical Degree,1,65,2,Healthcare Representative,Single,24720,7.0,Y,13,8,0,10.0,2,7,1.0,4.0,2.0,3,3,7.1366
Yes,Travel_Rarely,Research & Development,9,4,Medical,1,66,1,Sales Executive,Married,56730,5.0,Y,14,8,1,5.0,4,2,1.0,4.0,2.0,2,3,10.6411
No,Travel_Rarely,Research & Development,13,3,Life Sciences,1,67,4,Research Director,Married,41970,1.0,Y,13,8,0,11.0,3,9,4.0,4.0,3.0,3,3,5.7626
No,Travel_Frequently,Research & Development,2,1,Life Sciences,1,68,1,Manager,Married,97130,1.0,Y,17,8,0,10.0,5,9,3.0,3.0,3.0,2,3,6.0253
No,Travel_Frequently,Research & Development,19,4,Medical,1,69,1,Research Scientist,Married,20620,1.0,Y,13,8,0,21.0,4,3,3.0,4.0,3.0,3,3,5.5638
Yes,Travel_Rarely,Research & Development,1,1,Medical,1,70,1,Laboratory Technician,Married,42840,4.0,Y,17,8,1,12.0,0,0,4.0,3.0,2.0,3,3,9.8516
No,Travel_Frequently,Sales,4,2,Life Sciences,1,71,4,Research Scientist,Single,47880,3.0,Y,11,8,1,9.0,0,1,2.0,4.0,2.0,3,3,7.2128
No,Travel_Rarely,Research & Development,4,3,Life Sciences,1,72,2,Healthcare Representative,Married,59060,4.0,Y,23,8,0,21.0,4,1,4.0,3.0,3.0,4,4,6.3373
No,Travel_Frequently,Research & Development,14,3,Medical,1,73,5,Research Director,Divorced,38860,1.0,Y,17,8,2,9.0,2,0,3.0,3.0,4.0,3,3,5.9453
No,Non-Travel,Research & Development,2,3,Life Sciences,1,74,1,Research Director,Married,168230,0.0,Y,17,8,0,6.0,3,4,3.0,2.0,3.0,3,3,8.6435
No,Travel_Frequently,Research & Development,1,4,Life Sciences,1,75,2,Research Scientist,Single,29330,3.0,Y,12,8,2,20.0,2,3,4.0,3.0,2.0,3,3,5.6815
No,Travel_Rarely,Research & Development,7,2,Life Sciences,1,76,2,Manager,Married,65000,8.0,Y,23,8,0,10.0,3,0,3.0,1.0,2.0,3,4,6.8985
No,Travel_Rarely,Sales,3,1,Marketing,1,77,1,Sales Executive,Married,171740,9.0,Y,14,8,1,12.0,6,8,4.0,4.0,3.0,3,3,6.9005
No,Travel_Rarely,Research & Development,2,4,Other,1,78,4,Research Scientist,Married,50330,2.0,Y,14,8,2,6.0,6,2,2.0,4.0,2.0,3,3,9.1974
Yes,Travel_Rarely,Research & Development,29,3,Medical,1,79,1,Research Scientist,Married,23070,1.0,Y,13,8,1,7.0,0,7,2.0,1.0,2.0,3,3,9.6783
No,Travel_Rarely,Human Resources,8,3,Medical,1,80,3,Sales Representative,Single,25870,0.0,Y,22,8,2,4.0,3,2,2.0,4.0,3.0,3,4,6.6296
No,Travel_Rarely,Research & Development,10,3,Life Sciences,1,81,2,Research Scientist,Divorced,55070,1.0,Y,12,8,2,10.0,2,2,4.0,3.0,3.0,2,3,7.071
No,Travel_Rarely,Research & Development,11,2,Medical,1,82,1,Manager,Married,43930,1.0,Y,18,8,1,8.0,2,7,2.0,2.0,3.0,2,3,5.9576
No,Travel_Rarely,Sales,1,4,Life Sciences,1,83,2,Healthcare Representative,Divorced,133480,7.0,Y,14,8,0,8.0,4,4,4.0,4.0,2.0,3,3,5.6878
No,Travel_Rarely,Research & Development,28,4,Medical,1,84,1,Laboratory Technician,Divorced,65830,0.0,Y,12,8,0,12.0,1,9,3.0,4.0,3.0,3,3,8.7306
No,Travel_Rarely,Research & Development,6,3,Medical,1,85,3,Manager,Single,81030,1.0,Y,15,8,1,11.0,5,10,3.0,4.0,3.0,3,3,9.9656
No,Travel_Rarely,Research & Development,3,4,Life Sciences,1,86,3,Sales Executive,Divorced,39780,1.0,Y,11,8,0,7.0,0,7,4.0,2.0,3.0,3,3,8.2191
No,Travel_Rarely,Sales,16,2,Technical Degree,1,87,3,Manager,Single,25440,0.0,Y,13,8,1,17.0,3,13,3.0,2.0,3.0,4,3,7.4036
No,Travel_Rarely,Research & Development,20,4,Life Sciences,1,88,1,Manufacturing Director,Divorced,53990,1.0,Y,23,8,0,4.0,2,2,3.0,4.0,2.0,2,4,6.7629
No,Travel_Rarely,Research & Development,9,2,Life Sciences,1,89,1,Laboratory Technician,Single,54870,6.0,Y,19,8,2,8.0,0,2,4.0,2.0,3.0,3,3,9.2995
No,Travel_Frequently,Sales,1,3,Medical,1,90,2,Laboratory Technician,Single,68340,3.0,Y,16,8,1,5.0,2,0,2.0,3.0,3.0,4,3,7.4583
No,Travel_Rarely,Research & Development,3,4,Life Sciences,1,91,1,Manager,Single,10910,2.0,Y,22,8,0,16.0,0,0,1.0,4.0,3.0,1,4,5.9814
No,Non-Travel,Sales,22,4,Marketing,1,92,2,Human Resources,Married,57360,1.0,Y,22,8,0,4.0,1,2,4.0,3.0,2.0,2,4,5.9009
No,Travel_Rarely,Sales,7,4,Medical,1,93,3,Research Scientist,Divorced,22260,0.0,Y,12,8,1,4.0,3,0,3.0,3.0,3.0,2,3,8.0868
No,Travel_Rarely,Research & Development,2,3,Medical,1,94,2,Research Scientist,Married,57470,1.0,Y,13,8,0,8.0,0,7,3.0,2.0,3.0,3,3,7.1641
No,Travel_Rarely,Sales,13,4,Medical,1,95,4,Sales Executive,Married,98540,3.0,Y,16,8,1,15.0,2,0,1.0,3.0,1.0,2,3,6.8473
No,Travel_Rarely,Research & Development,8,5,Technical Degree,1,96,2,Manufacturing Director,Divorced,54670,4.0,Y,12,8,0,13.0,2,7,3.0,1.0,3.0,3,3,10.7115
No,Non-Travel,Sales,25,4,Other,1,97,1,Healthcare Representative,Married,53800,7.0,Y,21,8,1,4.0,0,2,4.0,3.0,4.0,3,4,10.2343
No,Travel_Rarely,Sales,28,3,Medical,1,98,5,Laboratory Technician,Married,51510,1.0,Y,15,8,3,8.0,3,7,3.0,3.0,3.0,3,3,5.8499
No,Travel_Rarely,Sales,2,2,Medical,1,99,1,Laboratory Technician,Single,21330,3.0,Y,13,8,2,14.0,2,0,1.0,4.0,3.0,3,3,5.8676
Yes,Travel_Frequently,Research & Development,9,3,Medical,1,100,4,Manufacturing Director,Single,178750,1.0,Y,12,8,0,3.0,5,2,1.0,2.0,3.0,2,3,7.9703
No,Non-Travel,Human Resources,28,3,Human Resources,1,101,2,Laboratory Technician,Single,24320,4.0,Y,22,8,0,7.0,4,0,4.0,4.0,3.0,1,4,6.8074
No,Travel_Frequently,Research & Development,6,3,Life Sciences,1,102,2,Research Scientist,Married,47710,4.0,Y,13,8,1,16.0,2,12,1.0,4.0,3.0,3,3,6.7912
No,Travel_Rarely,Research & Development,21,4,Life Sciences,1,103,5,Research Scientist,Married,191610,2.0,Y,18,8,0,15.0,2,2,4.0,3.0,3.0,1,3,5.972
No,Travel_Rarely,Research & Development,8,3,Other,1,104,2,Sales Executive,Married,50870,3.0,Y,14,8,1,10.0,3,7,4.0,3.0,3.0,3,3,7.6062
No,Non-Travel,Research & Development,1,5,Life Sciences,1,105,2,Manager,Single,28630,1.0,Y,14,8,0,3.0,2,2,1.0,4.0,2.0,1,3,7.345
Yes,Travel_Rarely,Human Resources,28,2,Human Resources,1,106,5,Manager,Single,55610,1.0,Y,21,8,1,1.0,3,0,4.0,3.0,3.0,1,4,9.7494
No,Travel_Rarely,Research & Development,5,3,Life Sciences,1,107,4,Research Scientist,Married,21440,6.0,Y,19,8,0,17.0,3,3,3.0,1.0,3.0,4,3,7.4155
No,Non-Travel,Sales,2,4,Marketing,1,108,2,Laboratory Technician,Married,30650,2.0,Y,11,8,0,7.0,3,0,3.0,3.0,4.0,3,3,5.5889
Yes,Travel_Frequently,Research & Development,16,1,Medical,1,109,1,Research Scientist,Single,28100,1.0,Y,11,8,0,8.0,3,7,1.0,2.0,3.0,4,3,7.1003
No,Travel_Rarely,Research & Development,9,3,Medical,1,110,3,Laboratory Technician,Single,98880,6.0,Y,15,8,0,20.0,2,3,4.0,4.0,3.0,3,3,6.3646
Yes,Travel_Rarely,Research & Development,8,3,Medical,1,111,1,Healthcare Representative,Married,86280,2.0,Y,20,8,0,8.0,2,0,3.0,3.0,3.0,2,4,8.736
No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,112,4,Human Resources,Single,28670,0.0,Y,24,8,0,3.0,5,2,3.0,2.0,3.0,3,4,10.6759
Yes,Travel_Rarely,Human Resources,10,2,Human Resources,1,113,1,Laboratory Technician,Single,53730,1.0,Y,12,8,1,1.0,2,0,3.0,2.0,3.0,3,3,5.5378
No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,114,2,Research Director,Single,66670,9.0,Y,12,8,1,6.0,6,2,4.0,4.0,3.0,4,3,7.6635
No,Travel_Rarely,Research & Development,29,3,Life Sciences,1,115,3,Sales Executive,Single,50030,9.0,Y,15,8,0,10.0,2,0,3.0,2.0,3.0,3,3,7.3148
No,Travel_Rarely,Sales,2,3,Life Sciences,1,116,1,Sales Executive,Divorced,23670,2.0,Y,12,8,1,5.0,2,4,4.0,2.0,3.0,3,3,5.8166
No,Travel_Rarely,Research & Development,2,2,Medical,1,117,3,Manager,Single,28580,1.0,Y,12,8,0,7.0,2,7,2.0,4.0,3.0,2,3,6.6345
No,Travel_Rarely,Sales,2,3,Technical Degree,1,118,2,Manufacturing Director,Single,52040,8.0,Y,14,8,1,26.0,3,0,2.0,3.0,3.0,3,3,7.5424
No,Travel_Rarely,Research & Development,1,2,Life Sciences,1,119,1,Sales Executive,Married,41050,4.0,Y,22,8,1,18.0,2,7,3.0,4.0,2.0,3,4,6.9768
No,Travel_Rarely,Sales,15,2,Life Sciences,1,120,1,Sales Executive,Married,96790,4.0,Y,12,8,0,6.0,1,2,4.0,3.0,3.0,3,3,5.6409
Yes,Non-Travel,Research & Development,7,3,Life Sciences,1,121,1,Sales Representative,Single,56170,8.0,Y,25,8,1,9.0,3,4,1.0,4.0,2.0,3,4,8.6007
No,Travel_Rarely,Sales,26,3,Marketing,1,122,1,Laboratory Technician,Single,104480,2.0,Y,13,8,0,30.0,3,2,3.0,4.0,3.0,3,3,8.2308
No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,123,5,Manager,Divorced,28970,1.0,Y,18,8,3,5.0,4,3,4.0,3.0,4.0,3,3,9.2306
No,Travel_Rarely,Research & Development,3,3,Life Sciences,1,124,2,Manager,Married,59680,1.0,Y,13,8,0,1.0,3,0,3.0,2.0,3.0,3,3,6.4017
Yes,Travel_Frequently,Sales,14,3,Life Sciences,1,125,2,Manager,Single,75100,0.0,Y,18,8,3,7.0,3,4,3.0,3.0,3.0,3,3,6.7464
No,Travel_Rarely,Research & Development,16,5,Other,1,126,1,Research Scientist,Married,29910,1.0,Y,19,8,2,2.0,3,2,1.0,2.0,3.0,2,3,5.8318
No,Travel_Rarely,Research & Development,1,3,Medical,1,127,5,Healthcare Representative,Married,196360,1.0,Y,12,8,1,10.0,3,0,2.0,3.0,3.0,3,3,6.0338
Yes,Travel_Frequently,Sales,3,2,Marketing,1,128,3,Research Scientist,Single,11290,9.0,Y,19,8,0,3.0,2,0,3.0,4.0,3.0,2,3,7.8956
No,Travel_Rarely,Research & Development,10,1,Technical Degree,1,129,1,Sales Executive,Divorced,133410,1.0,Y,14,8,1,18.0,3,17,4.0,1.0,2.0,3,3,6.2189
No,Travel_Rarely,Research & Development,6,2,Medical,1,130,3,Research Scientist,Divorced,43320,7.0,Y,14,8,2,8.0,3,3,4.0,2.0,3.0,2,3,6.173
No,Travel_Rarely,Research & Development,2,3,Medical,1,131,4,Manager,Divorced,110310,3.0,Y,12,8,1,8.0,2,2,2.0,1.0,3.0,2,3,7.0619
No,Travel_Rarely,Sales,9,1,Marketing,1,132,3,Sales Executive,Single,44400,2.0,Y,11,8,1,18.0,3,1,3.0,2.0,2.0,2,3,9.7608
No,Travel_Rarely,Sales,10,2,Life Sciences,1,133,1,Sales Executive,Divorced,46170,1.0,Y,11,8,0,25.0,2,9,1.0,2.0,3.0,3,3,6.9987
No,Travel_Rarely,Sales,6,2,Life Sciences,1,134,1,Laboratory Technician,Married,26470,6.0,Y,13,8,0,20.0,2,0,2.0,3.0,3.0,2,3,7.1642
No,Travel_Rarely,Human Resources,9,3,Life Sciences,1,135,2,Manufacturing Director,Married,63230,4.0,Y,23,8,1,24.0,2,2,1.0,1.0,2.0,2,4,5.4689
No,Non-Travel,Research & Development,28,3,Medical,1,136,1,Laboratory Technician,Married,56770,9.0,Y,20,8,1,6.0,3,2,3.0,3.0,3.0,3,4,6.4463
No,Travel_Rarely,Research & Development,10,4,Life Sciences,1,137,3,Sales Executive,Married,21870,1.0,Y,15,8,1,13.0,2,12,2.0,1.0,1.0,2,3,5.7133
No,Travel_Frequently,Sales,14,3,Life Sciences,1,138,1,Manufacturing Director,Married,37480,7.0,Y,14,8,2,11.0,3,2,4.0,4.0,3.0,2,3,6.9967
No,Travel_Rarely,Sales,27,4,Life Sciences,1,139,2,Sales Representative,Divorced,39770,4.0,Y,18,8,1,8.0,3,2,3.0,3.0,3.0,3,3,8.4867
No,Travel_Rarely,Human Resources,7,2,Human Resources,1,140,1,Manufacturing Director,Single,86330,1.0,Y,19,8,1,5.0,2,3,2.0,4.0,3.0,4,3,10.152
No,Non-Travel,Research & Development,1,3,Medical,1,141,3,Laboratory Technician,Married,20080,3.0,Y,22,8,0,15.0,5,7,2.0,3.0,3.0,2,4,10.005
No,Travel_Rarely,Research & Development,24,1,Medical,1,142,3,Laboratory Technician,Married,44400,1.0,Y,13,8,1,4.0,2,2,4.0,1.0,3.0,3,3,6.5783
No,Travel_Frequently,Research & Development,26,4,Technical Degree,1,143,1,Sales Executive,Divorced,30670,1.0,Y,20,8,1,21.0,5,6,2.0,3.0,3.0,1,4,8.8645
No,Travel_Frequently,Research & Development,20,4,Life Sciences,1,144,3,Sales Executive,Married,53210,9.0,Y,14,8,0,36.0,1,7,3.0,1.0,2.0,3,3,7.1224
No,Travel_Rarely,Sales,5,4,Medical,1,145,2,Manufacturing Director,Single,54100,0.0,Y,17,8,1,6.0,2,4,2.0,3.0,3.0,3,3,7.4641
No,Travel_Rarely,Research & Development,7,3,Technical Degree,1,146,3,Research Scientist,Married,27820,1.0,Y,14,8,0,10.0,2,7,2.0,1.0,3.0,2,3,6.4113
No,Travel_Rarely,Research & Development,7,3,Medical,1,147,3,Healthcare Representative,Divorced,119570,1.0,Y,13,8,0,10.0,2,8,3.0,1.0,3.0,2,3,5.8694
Yes,Travel_Rarely,Research & Development,5,2,Life Sciences,1,148,3,Laboratory Technician,Married,26600,5.0,Y,13,8,0,6.0,3,2,1.0,1.0,3.0,3,3,6.1344
No,Travel_Rarely,Research & Development,26,2,Life Sciences,1,149,2,Sales Representative,Married,33750,2.0,Y,21,8,0,28.0,2,4,4.0,3.0,3.0,2,4,7.9976
No,Travel_Rarely,Research & Development,2,3,Medical,1,150,1,Sales Executive,Married,50980,3.0,Y,14,8,1,8.0,4,2,1.0,4.0,2.0,3,3,6.4606
No,Travel_Rarely,Research & Development,12,3,Medical,1,151,2,Research Scientist,Married,48780,2.0,Y,11,8,1,31.0,3,4,4.0,4.0,1.0,3,3,6.8916
No,Travel_Frequently,Sales,10,3,Marketing,1,152,2,Healthcare Representative,Divorced,28370,2.0,Y,13,8,1,19.0,0,2,1.0,3.0,3.0,2,3,6.384
No,Travel_Rarely,Sales,25,3,Marketing,1,153,1,Sales Executive,Single,24060,2.0,Y,20,8,1,11.0,5,2,3.0,4.0,3.0,3,4,6.7637
No,Travel_Rarely,Research & Development,10,3,Life Sciences,1,154,1,Manufacturing Director,Married,22690,5.0,Y,18,8,1,33.0,4,10,1.0,1.0,1.0,3,3,5.7435
