años_de_trabajo,años_jefe_actual,satisfaccion_entorno,satisfaccion_laboral,tiempo_prom_dia,frecuencia_viajes_Non-Travel,frecuencia_viajes_Travel_Frequently,estado_civil_Divorced,estado_civil_Single,numero_capacitaciones_2
4.0,0,1.0,3.0,6.8805,0,0,0,1,0
1.0,0,2.0,2.0,7.1642,0,0,1,0,0
17.0,11,3.0,4.0,10.2472,0,0,0,0,0
1.0,0,2.0,1.0,10.5456,0,0,0,0,1
13.0,2,1.0,1.0,7.2486,0,1,1,0,0
4.0,2,4.0,3.0,7.718,1,0,0,0,1
18.0,3,2.0,3.0,7.8252,0,1,0,0,1
30.0,1,3.0,4.0,6.9194,0,0,0,0,0
10.0,0,1.0,3.0,6.0184,0,0,0,0,1
6.0,4,2.0,4.0,8.7759,0,0,0,0,1
25.0,0,4.0,4.0,6.0225,0,0,0,1,1
4.0,2,4.0,2.0,6.5454,0,1,0,0,1
17.0,9,4.0,3.0,7.7505,0,0,0,0,0
7.0,2,3.0,4.0,10.1401,0,0,1,0,0
5.0,3,2.0,2.0,7.7503,0,0,0,0,1
26.0,1,4.0,4.0,7.1191,0,0,0,0,1
10.0,0,2.0,1.0,6.3981,0,0,0,0,1
10.0,7,2.0,2.0,9.4003,0,0,0,1,0
7.0,2,3.0,2.0,10.1336,0,0,0,1,0
16.0,2,2.0,1.0,10.3285,0,0,1,0,0
19.0,7,3.0,4.0,7.0847,0,0,1,0,0
32.0,7,1.0,2.0,6.5832,0,1,0,0,1
15.0,7,2.0,3.0,10.005,1,0,0,0,0
6.0,0,3.0,1.0,6.2592,0,1,0,0,0
3.0,0,4.0,4.0,10.2194,0,1,1,0,0
1.0,0,3.0,2.0,8.583,0,0,0,0,0
8.0,2,1.0,1.0,6.5471,0,0,0,0,1
5.0,4,1.0,3.0,6.3047,0,0,0,1,1
3.0,2,1.0,3.0,6.9704,0,0,0,0,0
15.0,10,2.0,2.0,5.9376,0,0,0,0,0
16.0,2,2.0,1.0,9.9603,0,0,1,0,0
11.0,6,4.0,3.0,7.6517,0,0,0,0,0
5.0,2,1.0,1.0,6.5098,0,0,0,0,0
1.0,0,3.0,4.0,8.1891,0,0,0,1,0
10.0,8,2.0,4.0,6.6062,0,0,0,0,1
23.0,8,3.0,2.0,5.7278,0,1,0,0,1
5.0,0,2.0,3.0,7.4583,0,1,0,1,1
14.0,7,3.0,2.0,7.6135,0,0,0,0,0
16.0,12,3.0,4.0,9.5163,1,0,0,0,0
2.0,2,3.0,3.0,10.1257,0,0,0,1,0
4.0,2,4.0,3.0,7.6985,1,0,0,0,1
1.0,0,4.0,3.0,5.978,0,0,1,0,1
10.0,2,2.0,1.0,6.5949,0,0,0,0,0
5.0,0,3.0,4.0,9.8717,0,0,0,0,1
3.0,2,3.0,4.0,8.4379,0,0,1,0,0
20.0,0,1.0,1.0,6.8931,0,0,0,1,0
19.0,2,3.0,1.0,8.0653,0,0,1,0,1
10.0,3,4.0,1.0,6.6378,0,1,0,1,0
8.0,7,4.0,3.0,6.8202,0,0,0,0,0
6.0,2,1.0,1.0,7.8743,0,1,0,0,1
27.0,0,4.0,3.0,5.601,0,0,0,0,0
24.0,2,1.0,1.0,5.4689,0,0,0,0,1
10.0,7,1.0,2.0,6.2378,0,0,1,0,1
4.0,2,4.0,2.0,7.8461,0,0,1,0,0
9.0,7,4.0,2.0,6.2643,0,0,0,1,1
6.0,2,3.0,3.0,6.8727,0,0,1,0,1
22.0,8,2.0,1.0,7.3968,0,0,0,0,1
1.0,0,3.0,4.0,8.5346,0,0,0,1,0
17.0,0,4.0,1.0,8.224,0,0,0,0,0
3.0,2,3.0,1.0,6.9762,0,0,0,0,0
18.0,12,3.0,2.0,10.5231,0,0,0,1,0
8.0,2,1.0,4.0,6.37,0,0,0,0,0
20.0,8,1.0,3.0,9.3538,0,0,0,1,0
10.0,7,1.0,3.0,6.3266,0,1,0,0,1
28.0,9,1.0,1.0,6.7425,0,0,0,1,0
3.0,2,1.0,3.0,8.7049,0,0,0,0,0
9.0,2,1.0,3.0,7.3347,0,1,0,0,0
13.0,5,4.0,4.0,6.7284,1,0,0,0,0
10.0,7,2.0,3.0,6.7924,0,0,0,0,1
10.0,0,2.0,3.0,6.9441,0,0,0,0,0
8.0,6,3.0,3.0,7.7411,0,0,1,0,0
6.0,4,4.0,4.0,8.4272,0,1,1,0,0
7.0,5,1.0,2.0,10.2699,0,0,1,0,0
20.0,0,1.0,1.0,9.3757,0,1,0,0,0
1.0,0,1.0,3.0,7.4202,0,0,1,0,0
12.0,8,4.0,2.0,6.4579,0,1,0,0,0
34.0,9,3.0,4.0,6.2766,0,0,0,0,1
10.0,8,1.0,3.0,6.5734,0,1,0,1,1
9.0,7,4.0,1.0,7.0848,0,1,1,0,1
10.0,9,3.0,4.0,8.4869,0,0,0,0,0
7.0,2,4.0,3.0,6.6435,0,0,0,0,1
15.0,4,3.0,2.0,6.7509,0,0,1,0,0
0.0,0,4.0,3.0,9.1055,0,0,0,1,1
33.0,9,4.0,2.0,10.2135,0,0,0,0,1
16.0,9,2.0,4.0,6.8942,0,0,1,0,0
8.0,2,4.0,4.0,9.4483,0,0,0,0,0
10.0,8,4.0,1.0,5.9723,0,0,0,1,0
10.0,1,4.0,3.0,6.1053,0,0,0,0,0
7.0,2,3.0,4.0,8.5858,0,0,0,1,0
8.0,0,2.0,3.0,7.1416,0,1,0,0,0
10.0,5,4.0,4.0,7.6015,0,0,0,0,0
10.0,7,4.0,1.0,7.4899,0,0,0,1,0
2.0,2,4.0,4.0,9.0467,0,1,0,0,0
10.0,8,4.0,3.0,7.8048,0,1,0,1,0
10.0,8,2.0,3.0,6.2634,0,0,0,0,0
5.0,0,4.0,3.0,9.9187,0,1,0,1,0
9.0,8,3.0,2.0,6.005,1,0,0,0,0
30.0,12,3.0,2.0,7.5602,0,1,0,0,1
26.0,13,3.0,1.0,7.1441,0,0,1,0,0
6.0,4,3.0,2.0,7.6568,0,0,0,0,0
19.0,0,4.0,4.0,6.2028,0,0,0,0,0
7.0,4,2.0,2.0,6.2811,0,0,1,0,0
10.0,8,2.0,4.0,6.7786,0,0,0,0,0
9.0,0,3.0,4.0,7.5101,0,0,0,0,1
3.0,1,4.0,4.0,5.8613,0,1,0,0,0
18.0,7,3.0,1.0,6.8499,0,0,0,0,0
2.0,2,1.0,3.0,6.296,0,0,0,1,0
10.0,6,3.0,1.0,6.6264,0,0,0,0,0
15.0,8,4.0,4.0,6.1903,0,0,0,1,0
4.0,0,3.0,2.0,7.3149,1,0,0,0,0
24.0,17,4.0,1.0,7.6744,0,0,0,0,0
6.0,2,1.0,3.0,7.535,0,0,0,0,0
34.0,0,3.0,1.0,7.019,0,0,0,0,0
0.0,0,2.0,4.0,8.1953,0,1,0,1,1
18.0,9,1.0,4.0,6.9243,1,0,0,1,0
4.0,0,1.0,2.0,6.1471,0,0,1,0,0
6.0,2,3.0,2.0,7.7623,0,0,0,0,1
8.0,7,1.0,2.0,7.0562,0,1,0,1,0
32.0,9,3.0,4.0,9.9469,0,1,0,1,1
28.0,10,3.0,2.0,10.1076,0,0,1,0,0
6.0,3,3.0,1.0,7.147,0,0,0,1,0
9.0,2,3.0,3.0,7.8627,0,0,0,0,1
11.0,0,1.0,3.0,7.2038,0,1,0,0,1
4.0,2,3.0,2.0,6.6237,0,0,0,0,1
6.0,2,2.0,1.0,5.8449,0,0,1,0,0
17.0,7,3.0,4.0,6.0453,0,0,0,1,1
17.0,7,4.0,3.0,6.8482,0,0,0,0,0
10.0,9,4.0,4.0,7.1795,0,0,1,0,0
6.0,2,3.0,2.0,5.8633,0,0,0,0,1
15.0,7,2.0,3.0,10.4952,0,0,0,0,0
6.0,2,3.0,3.0,9.6505,0,0,0,1,1
13.0,9,1.0,4.0,6.2584,0,0,1,0,0
6.0,2,4.0,4.0,9.2522,0,0,0,1,0
10.0,7,1.0,4.0,5.644,0,0,0,0,0
10.0,5,4.0,4.0,7.8122,0,0,0,0,0
33.0,10,1.0,1.0,5.8812,0,0,0,0,0
10.0,7,3.0,2.0,6.6307,0,1,0,1,0
4.0,2,4.0,3.0,5.8992,0,0,0,1,0
3.0,2,4.0,1.0,6.2435,0,0,0,1,1
20.0,13,2.0,3.0,6.3099,0,1,0,1,0
1.0,0,3.0,3.0,6.72,0,1,1,0,0
8.0,3,2.0,4.0,7.3201,0,0,1,0,0
10.0,7,2.0,3.0,6.8596,0,0,0,0,1
2.0,1,4.0,4.0,7.4541,0,0,0,0,0
10.0,8,2.0,4.0,7.3064,0,1,1,0,0
1.0,0,1.0,4.0,7.5116,0,0,0,1,1
7.0,2,3.0,1.0,6.052,0,0,0,0,0
10.0,8,1.0,3.0,6.2057,0,1,0,1,1
32.0,0,1.0,4.0,6.0823,0,0,1,0,0
7.0,1,1.0,3.0,9.8593,0,0,0,0,0
10.0,9,2.0,2.0,7.2809,0,0,0,0,0
11.0,0,1.0,3.0,7.1231,0,1,0,0,1
4.0,2,2.0,3.0,9.4874,0,0,0,0,0
6.0,2,2.0,4.0,5.9362,0,0,0,0,0
10.0,8,4.0,1.0,9.1876,0,0,1,0,1
1.0,0,2.0,2.0,7.6295,0,0,1,0,0
12.0,4,3.0,1.0,6.114,0,0,0,0,0
6.0,3,3.0,3.0,5.595,0,0,1,0,1
5.0,3,3.0,1.0,6.6402,0,1,0,1,0
18.0,7,3.0,4.0,7.2933,0,0,0,0,1
11.0,9,4.0,4.0,5.7626,0,0,0,0,0
18.0,2,4.0,2.0,7.4346,0,1,1,0,0
29.0,7,1.0,2.0,6.5145,0,0,0,0,0
27.0,0,3.0,3.0,9.048,0,0,0,0,0
11.0,7,3.0,2.0,7.65,0,0,1,0,0
9.0,7,3.0,4.0,5.8327,0,0,0,0,1
17.0,13,3.0,2.0,7.2779,0,0,0,1,0
19.0,1,1.0,2.0,6.2486,0,0,0,0,0
6.0,0,4.0,3.0,5.724,1,0,0,1,0
11.0,8,3.0,4.0,5.9562,0,0,0,1,0
5.0,0,1.0,4.0,6.4231,0,0,0,1,0
34.0,9,3.0,4.0,6.2832,0,0,0,0,1
6.0,2,4.0,3.0,9.2736,0,0,0,1,0
5.0,4,4.0,3.0,9.8983,0,0,0,1,0
24.0,7,2.0,1.0,6.5325,0,0,1,0,0
2.0,2,1.0,3.0,6.228,0,0,0,1,0
9.0,3,3.0,3.0,7.1334,0,0,0,0,1
5.0,3,1.0,1.0,10.6937,0,1,0,0,0
22.0,0,2.0,1.0,6.9052,0,0,0,0,0
3.0,1,3.0,4.0,5.9351,0,0,0,0,0
1.0,0,2.0,1.0,10.0259,0,0,0,0,1
25.0,7,3.0,4.0,6.3018,0,0,0,0,0
20.0,13,2.0,2.0,6.6635,0,1,1,0,1
8.0,2,1.0,4.0,6.6016,0,0,0,0,0
5.0,4,4.0,2.0,5.6371,0,0,1,0,1
8.0,7,2.0,1.0,9.6804,0,0,0,0,1
27.0,0,4.0,3.0,5.5621,0,0,0,0,0
9.0,0,4.0,3.0,5.7145,0,0,1,0,1
1.0,0,3.0,1.0,8.6573,0,0,0,0,0
2.0,0,4.0,1.0,5.7671,0,0,0,0,1
6.0,2,2.0,3.0,6.0441,0,0,0,0,0
1.0,0,3.0,2.0,8.3306,0,0,0,0,0
22.0,5,4.0,3.0,9.2519,0,0,0,0,0
17.0,3,3.0,4.0,7.4518,0,1,0,0,1
1.0,0,4.0,1.0,6.0599,0,0,1,0,0
22.0,11,3.0,2.0,6.8397,0,1,0,0,1
10.0,2,1.0,3.0,6.5911,0,0,0,1,0
4.0,2,1.0,3.0,6.4038,0,0,1,0,1
3.0,2,2.0,2.0,6.6961,0,0,0,0,0
10.0,3,3.0,1.0,8.913,1,0,0,0,1
5.0,4,3.0,1.0,5.8105,0,0,1,0,1
16.0,10,4.0,4.0,5.7437,1,0,0,1,1
24.0,4,4.0,1.0,7.5488,0,0,0,0,1
20.0,0,4.0,1.0,9.3458,0,0,1,0,0
29.0,2,2.0,2.0,6.3068,0,0,1,0,1
6.0,3,1.0,2.0,7.1069,0,0,0,0,1
34.0,9,3.0,3.0,5.6873,0,0,0,0,0
28.0,9,1.0,1.0,6.6539,0,0,0,1,0
5.0,0,4.0,3.0,6.8885,0,0,0,1,0
17.0,2,3.0,1.0,7.4573,0,0,0,0,0
6.0,2,4.0,1.0,5.8243,0,0,0,1,1
14.0,9,4.0,1.0,7.1865,0,1,0,1,1
10.0,7,2.0,3.0,7.3418,1,0,0,1,1
5.0,2,3.0,4.0,5.876,0,0,0,1,1
16.0,0,4.0,4.0,8.861,0,0,0,1,0
10.0,8,4.0,2.0,9.722,0,1,1,0,1
7.0,7,4.0,4.0,7.3423,0,0,0,1,1
4.0,2,4.0,4.0,5.8749,0,0,0,0,0
20.0,17,4.0,1.0,10.3532,0,0,0,1,0
4.0,2,4.0,3.0,6.0154,1,0,0,0,0
28.0,6,1.0,2.0,5.6225,0,0,1,0,1
9.0,7,4.0,4.0,7.753,0,0,0,1,0
9.0,8,4.0,4.0,9.8249,1,0,0,0,0
8.0,2,2.0,4.0,7.8124,0,1,0,1,0
6.0,3,3.0,4.0,5.8869,0,0,1,0,1
10.0,3,3.0,1.0,6.1041,0,0,0,1,1
17.0,6,3.0,3.0,6.4598,0,0,0,1,1
20.0,3,1.0,3.0,6.5255,0,1,0,1,0
10.0,0,3.0,4.0,6.9922,0,1,0,0,0
7.0,1,3.0,4.0,6.5427,0,0,0,0,1
26.0,10,2.0,2.0,6.5717,0,0,0,0,1
8.0,2,4.0,2.0,6.6309,0,0,1,0,0
12.0,7,3.0,4.0,6.0592,1,0,0,1,0
16.0,7,2.0,2.0,6.2854,0,0,0,0,1
35.0,4,3.0,2.0,7.8409,0,0,0,0,0
4.0,2,4.0,3.0,10.09,0,0,0,0,0
10.0,3,2.0,4.0,7.4273,0,0,1,0,0
1.0,0,4.0,2.0,6.0714,0,0,0,0,0
12.0,7,3.0,4.0,6.2691,0,1,0,1,0
5.0,3,3.0,4.0,7.219,0,0,0,0,0
15.0,0,1.0,2.0,6.0948,0,0,0,0,1
2.0,2,3.0,3.0,6.6142,0,1,0,0,0
6.0,2,4.0,2.0,5.8038,1,0,1,0,1
3.0,2,1.0,2.0,7.9703,0,1,0,1,0
6.0,2,1.0,1.0,7.4107,0,0,0,1,0
5.0,2,4.0,4.0,7.0101,1,0,0,0,1
4.0,1,3.0,4.0,8.0972,0,0,0,1,1
29.0,7,3.0,2.0,6.536,0,0,1,0,0
4.0,0,1.0,3.0,7.2713,0,0,0,1,0
10.0,5,1.0,3.0,7.0515,0,0,1,0,1
6.0,3,1.0,4.0,6.5105,0,1,1,0,0
23.0,11,4.0,4.0,10.7717,0,0,0,0,1
20.0,2,3.0,3.0,7.0634,0,0,0,0,1
21.0,8,2.0,2.0,7.7161,0,0,0,1,0
10.0,8,1.0,3.0,6.2858,0,1,0,1,1
8.0,7,1.0,2.0,7.1003,0,1,0,1,0
9.0,2,2.0,1.0,7.7365,0,0,0,0,0
8.0,1,4.0,3.0,5.6919,0,0,0,1,1
1.0,1,4.0,3.0,7.2405,0,0,0,0,1
27.0,12,4.0,1.0,6.3871,0,0,0,1,1
8.0,2,3.0,3.0,8.3317,0,0,1,0,0
15.0,4,3.0,2.0,6.4952,0,0,1,0,0
8.0,3,4.0,4.0,7.4295,0,0,0,0,1
16.0,2,1.0,3.0,6.4912,0,0,0,1,0
9.0,1,1.0,1.0,5.7897,0,0,0,0,1
19.0,7,4.0,1.0,10.7065,0,0,1,0,0
15.0,11,4.0,1.0,6.7586,0,0,0,0,0
13.0,2,4.0,2.0,7.1678,0,0,1,0,1
31.0,4,4.0,4.0,7.0367,0,0,0,0,0
10.0,8,3.0,1.0,6.0142,0,0,1,0,1
1.0,0,1.0,1.0,9.0982,0,0,1,0,1
6.0,2,2.0,4.0,5.8548,0,0,0,1,0
10.0,7,3.0,4.0,7.4005,0,0,1,0,0
15.0,2,4.0,3.0,5.7389,0,0,0,0,1
9.0,4,4.0,4.0,6.3221,0,1,0,1,0
1.0,0,3.0,4.0,8.1057,0,0,0,1,0
15.0,10,3.0,2.0,6.4576,0,1,1,0,0
13.0,7,4.0,4.0,7.7742,0,1,0,1,0
21.0,10,2.0,3.0,5.9091,1,0,1,0,0
8.0,2,1.0,3.0,6.8083,0,0,0,1,0
17.0,3,4.0,1.0,5.6242,0,0,1,0,0
10.0,7,3.0,3.0,6.2476,0,0,0,1,0
1.0,0,2.0,2.0,5.8012,0,0,0,1,1
6.0,3,4.0,3.0,6.0838,0,0,0,1,1
7.0,7,4.0,4.0,9.4778,1,0,1,0,0
24.0,2,1.0,1.0,5.5095,0,0,0,0,1
24.0,17,1.0,4.0,6.873,0,0,0,0,0
7.0,7,3.0,4.0,10.0853,0,1,0,0,0
12.0,3,2.0,3.0,7.6005,0,1,0,1,1
7.0,0,3.0,3.0,5.9209,0,0,0,0,1
20.0,3,1.0,3.0,6.2719,0,1,0,1,0
6.0,4,3.0,3.0,6.6248,0,0,0,1,0
15.0,2,4.0,3.0,6.0591,0,0,0,0,1
10.0,7,2.0,1.0,6.4113,0,0,0,0,1
35.0,8,4.0,2.0,6.4935,0,0,0,1,1
11.0,8,3.0,4.0,7.3672,0,0,0,0,1
21.0,6,2.0,4.0,7.3559,0,0,0,0,0
9.0,8,1.0,1.0,5.6554,0,0,1,0,0
10.0,7,3.0,2.0,5.6961,0,0,0,1,1
10.0,9,3.0,3.0,5.612,0,0,1,0,1
5.0,3,3.0,1.0,7.1493,0,0,0,0,1
6.0,2,3.0,3.0,6.4669,1,0,0,0,0
6.0,4,2.0,4.0,5.8089,0,0,1,0,0
9.0,4,3.0,1.0,9.6652,0,0,0,1,1
18.0,0,3.0,3.0,5.7783,0,0,0,0,1
8.0,1,2.0,3.0,8.6335,0,0,0,0,0
1.0,0,4.0,3.0,10.0919,0,0,0,1,0
17.0,0,1.0,3.0,6.6193,0,1,1,0,1
3.0,0,3.0,1.0,5.9385,0,0,1,0,1
14.0,7,3.0,3.0,6.5355,0,0,0,0,1
5.0,3,2.0,2.0,6.7031,0,1,0,0,1
1.0,1,3.0,4.0,6.9847,0,0,0,0,0
5.0,2,1.0,3.0,7.511,0,0,0,0,0
8.0,4,3.0,4.0,10.0689,0,0,0,0,1
4.0,2,2.0,3.0,9.4207,0,0,0,0,0
8.0,0,3.0,3.0,8.7933,0,0,0,0,1
34.0,9,3.0,3.0,5.7286,0,0,0,0,0
6.0,2,3.0,1.0,10.2753,0,0,0,1,0
6.0,3,2.0,2.0,8.6538,0,0,0,0,0
22.0,2,3.0,1.0,10.1927,0,1,0,1,1
8.0,3,4.0,1.0,7.2772,0,1,0,0,0
11.0,3,4.0,2.0,5.8206,0,0,0,1,1
10.0,8,4.0,1.0,5.797,0,0,0,1,0
12.0,2,2.0,4.0,6.952,0,0,0,1,0
13.0,11,1.0,2.0,5.8256,0,0,0,1,1
7.0,7,1.0,4.0,6.619,0,1,0,0,1
13.0,2,2.0,3.0,5.935,0,0,0,0,1
13.0,7,4.0,2.0,7.1265,1,0,0,1,0
10.0,8,2.0,4.0,6.589,0,0,0,1,1
16.0,8,4.0,2.0,7.808,1,0,1,0,0
4.0,0,1.0,2.0,6.3651,0,0,1,0,0
31.0,4,4.0,4.0,6.8916,0,0,0,0,0
31.0,0,2.0,4.0,7.1092,0,0,1,0,0
20.0,17,4.0,4.0,7.225,0,0,0,1,0
21.0,2,3.0,2.0,7.7675,0,0,1,0,0
6.0,3,3.0,4.0,6.1131,0,1,1,0,0
4.0,2,3.0,3.0,6.0854,0,1,0,1,1
4.0,0,2.0,1.0,8.1452,0,1,0,1,0
26.0,0,2.0,3.0,7.515,0,0,0,1,0
24.0,11,1.0,1.0,6.9341,0,1,1,0,0
1.0,0,4.0,3.0,6.0113,0,0,1,0,1
13.0,7,4.0,4.0,6.2026,0,0,1,0,0
6.0,3,4.0,1.0,6.072,0,0,0,1,0
11.0,2,3.0,1.0,7.1231,0,0,0,0,0
10.0,0,2.0,1.0,6.1208,0,0,0,0,1
2.0,1,4.0,4.0,7.0677,0,0,0,0,0
7.0,2,3.0,1.0,5.9951,0,0,0,0,0
10.0,7,4.0,3.0,6.4835,0,0,0,1,0
9.0,8,2.0,1.0,6.0314,0,1,0,0,0
6.0,0,2.0,1.0,7.0576,0,0,1,0,1
6.0,2,1.0,1.0,6.077,0,0,0,0,0
10.0,7,3.0,3.0,6.5346,1,0,0,0,0
8.0,2,2.0,1.0,7.4433,0,0,1,0,1
22.0,0,2.0,2.0,5.692,0,1,0,1,1
9.0,7,1.0,2.0,6.9179,1,0,1,0,0
5.0,2,2.0,3.0,8.8492,0,0,1,0,1
13.0,9,3.0,3.0,6.1162,1,0,1,0,0
12.0,3,2.0,3.0,7.4411,0,1,0,1,1
8.0,3,3.0,1.0,7.5365,0,0,0,0,0
29.0,2,2.0,2.0,6.4899,0,0,1,0,1
1.0,0,2.0,1.0,6.4357,0,1,0,0,1
8.0,1,4.0,2.0,6.709,0,0,0,1,0
8.0,0,3.0,3.0,9.0059,0,1,1,0,0
10.0,8,2.0,4.0,7.632,0,1,0,0,0
12.0,10,3.0,1.0,6.6369,1,0,1,0,1
20.0,7,4.0,3.0,6.0616,1,0,0,1,0
12.0,7,4.0,4.0,6.8456,0,0,1,0,1
1.0,0,4.0,2.0,7.6914,0,0,0,0,0
3.0,2,4.0,3.0,7.4966,0,0,0,0,1
3.0,2,2.0,4.0,7.1979,1,0,0,1,0
6.0,4,1.0,3.0,7.4822,0,0,1,0,1
6.0,3,3.0,3.0,10.2608,0,0,0,1,1
6.0,4,3.0,2.0,7.3575,0,1,1,0,0
2.0,2,3.0,3.0,6.2,0,0,0,1,1
16.0,5,4.0,1.0,6.2555,0,0,0,0,1
